Time,Gx,Gy,Gz,Ax,Ay,Az
1532053104,-1.111633301,0.444381714,-0.084869385,-0.447890166,-0.311411682,-2.988153562
1532053105,-0.568359375,0.285293579,0.019760132,0.777466204,0.11465814,-1.89837819
1532053105,-0.942337036,0.701766968,-0.158309937,-0.347336127,0.277724292,0.383680553
1532053105,-1.524703979,0.493225098,0.232467651,0.523858167,0.055420915,4.433984517
1532053105,-0.840591431,0.263717651,-0.127426147,-2.119485276,2.457124833,0.695126856
1532053105,-1.372573853,0.403793335,0.024688721,1.458817593,-1.041077873,0.740299927
1532053106,-1.085250854,0.634796143,-0.332458496,-1.180373715,-0.194645384,-2.076959387
1532053106,-0.947509766,0.505096436,-0.162704468,2.129737381,-2.66920327,-1.964148149
1532053106,-0.553451538,0.485946655,-0.208969116,-0.582655704,0.225765753,-1.902970812
1532053106,-1.074676514,0.689880371,0.391098022,1.286854352,0.502857811,1.222543806
1532053106,-1.077438354,0.559906006,-0.003829956,2.246148147,1.383404861,2.545401433
1532053107,-0.938980103,0.461196899,0.21987915,3.187403818,-1.537261003,1.724733962
1532053107,-0.690490723,0.914230347,-0.867904663,-1.024130848,-0.354448898,1.415009659
1532053107,-1.084121704,0.714508057,-1.64074707,0.656390645,-2.918551581,3.204358833
1532053107,0.158981323,0.514892578,-0.435531616,4.42980655,2.044032862,-5.903580456
1532053107,-0.594711304,-0.002487183,-0.398757935,-0.341801812,-2.880737889,-3.633555472
1532053108,-1.384094238,0.222640991,-0.216781616,2.144613532,-2.708054529,2.894033721
1532053108,-1.277694702,0.306152344,0.10949707,1.857573502,-2.808988601,4.806900839
1532053108,-1.177352905,0.54864502,-0.087677002,0.663261335,0.082701538,0.301503658
1532053108,-1.209976196,0.545303345,-0.27935791,0.840447301,-1.445309508,-1.092809778
1532053108,-0.706512451,0.527023315,-0.228042603,0.079352347,-0.222111097,-3.048393733
1532053109,-0.682739258,0.647888184,-0.212417603,-0.207321498,-0.070990287,-1.171335745
1532053109,-1.286682129,0.674591064,0.250946045,0.346307614,0.518118789,3.035553835
1532053109,-0.849716187,0.491073608,-0.173278809,-2.52897186,3.413073964,2.4711035
1532053109,-1.387130737,0.550506592,-0.045349121,1.124774901,-1.053079409,0.985353092
1532053110,-1.082260132,0.812438965,-0.278274536,-0.781840446,0.591996742,-1.937876864
1532053110,-0.648406982,0.492523193,-0.079193115,0.798203175,-0.720589606,-2.588903104
1532053110,-0.602508545,0.689498901,-0.27545166,-0.613563553,0.023075492,-0.948866453
1532053110,-1.262649536,0.761367798,-0.12437439,-0.00629518,0.062058844,3.4691367
1532053110,-0.922393799,0.643585205,-0.062225342,0.877215436,1.664691397,1.91885497
1532053111,-1.223114014,0.553222656,0.005722046,-0.255560667,0.378701773,1.180422451
1532053111,-1.249023438,0.724624634,-0.168060303,0.831857275,-1.831711012,-0.888482471
1532053111,-0.645477295,0.624725342,-0.276733398,-1.285940089,-1.169406019,-3.75777942
1532053111,-0.381484985,0.487808228,-0.128982544,-0.905597809,0.109684953,-1.984351422
1532053111,-1.590698242,0.987731934,0.075088501,-0.250654325,0.025575401,3.269351948
1532053112,-1.049560547,0.468963623,0.295791626,1.948816864,1.443342497,2.369869556
1532053112,-1.229980469,0.668304443,-0.160980225,-1.583923847,1.787050866,-0.079249016
1532053112,-1.111526489,0.744522095,-0.279846191,-0.541946624,-0.146082908,-1.833874565
1532053112,-0.815933228,0.637237549,-0.115982056,0.5879514,-0.591811652,-2.910485398
1532053112,-0.350479126,0.583709717,-0.27230835,-1.353001948,0.465427348,-1.095312084
1532053113,-1.444885254,0.722640991,-0.23109436,0.34314298,-0.810908051,3.754339681
1532053113,-0.840835571,0.410324097,0.065246582,0.924105979,0.681001716,2.213104443
1532053113,-1.337722778,0.571868896,-0.113571167,0.133438752,-0.674374706,1.097874311
1532053113,-1.191558838,0.727584839,-0.256698608,0.834685818,-0.555205438,-1.750791662
1532053113,-0.578582764,0.55078125,-0.096893311,0.091183706,-0.193878127,-3.490124274
1532053114,-0.779251099,0.725418091,-0.16178894,-0.417916021,-0.409096697,-0.696679745
1532053114,-1.328094482,0.710083008,-0.24395752,-0.699921345,0.650582025,3.35524635
1532053114,-0.958984375,0.556930542,-0.092102051,1.201262219,1.420561284,1.82988435
1532053114,-1.320083618,0.58190918,-0.031234741,0.992270653,-0.275463268,1.296200184
1532053114,-1.421920776,0.862030029,-0.316543579,-0.406835141,-0.475922067,-1.983126634
1532053115,-0.49432373,0.588821411,-0.138687134,-0.079611206,-1.390152246,-4.023077403
1532053115,-0.546707153,0.716690063,-0.361068726,-0.980076571,-0.977077319,-0.859649225
1532053115,-1.58934021,0.845550537,-0.05329895,0.642883891,1.019523579,4.479143473
1532053115,-0.891860962,0.460723877,0.256271362,2.355270906,1.952636369,1.997823821
1532053115,-1.468002319,0.65296936,0.033538818,-0.147705572,0.351916232,0.670660662
1532053116,-1.189468384,0.838546753,-0.397644043,-1.315667359,-0.440002415,-2.319887349
1532053116,-0.686477661,0.57635498,-0.215087891,-0.216972261,-0.733670787,-3.21704054
1532053116,-0.659805298,0.681915283,-0.090942383,-0.476681867,0.197177251,-1.300634081
1532053116,-1.315734863,0.884033203,-0.174377441,-1.189545908,0.968907539,3.208950655
1532053116,-1.082870483,0.567138672,0.08253479,1.850880979,0.573155143,3.186441884
1532053117,-1.405288696,0.582122803,-0.038864136,-0.807750607,0.825868891,0.467665468
1532053117,-1.016845703,0.769546509,-0.385910034,-0.486243414,-1.241838408,-2.281074439
1532053117,-0.71913147,0.541900635,-0.188369751,0.243886434,-0.67106919,-2.669497283
1532053117,-0.639541626,0.729064941,-0.123443604,-0.657227677,0.085649924,-1.473656727
1532053117,-1.217315674,0.765151978,-0.178497314,-0.416420923,0.821654438,2.84374525
1532053118,-1.013763428,0.434173584,0.409225464,1.177012806,0.893916119,2.583736305
1532053118,-1.361099243,0.621810913,-0.242553711,-1.7528897,1.252892391,0.100063751
1532053118,-0.993026733,0.700271606,-0.343353271,0.257013954,-1.20354801,-2.167873847
1532053118,-0.690170288,0.605789185,-0.164459229,1.024084242,-0.710311934,-2.912620455
1532053118,-0.682601929,0.664276123,-0.027099609,-0.424741703,0.284773946,-1.102971601
1532053119,-0.946975708,0.543563843,-0.2162323,-0.616699159,0.266602665,2.428249509
1532053119,-1.087203979,0.498123169,-0.06867981,0.643039686,0.005577991,2.615307547
